cycle,input_fire,sample_index,channel_id,sample_u16,fault_active,input_ready,mode,q_shift,current_mad,cfg_t_low,cfg_t_high,quantized,dptc_delta,bit_width,is_absolute,packer_byte_valid,packer_byte,m_axis_tvalid,m_axis_byte,m_axis_tlast,fifo_level,fifo_full,overflow
239,1,233,2,8298,1,1,0,0,4,0,65535,8302,-2,3,0,1,239,1,109,0,1,0,0
240,1,234,2,8295,1,1,0,0,5,0,65535,8300,-2,3,0,0,0,1,183,0,1,0,0
241,1,235,2,8293,1,1,0,0,5,0,65535,8298,-2,3,0,0,0,1,1,0,1,0,0
242,1,236,2,8290,1,1,0,0,5,0,65535,8295,-2,3,0,1,109,1,126,0,1,0,0
243,1,237,2,8287,1,1,0,0,6,0,65535,8293,-3,4,0,0,0,1,67,1,0,0,0
244,1,238,2,8284,1,1,0,0,6,0,65535,8290,-2,3,0,1,187,0,67,0,0,0,0
245,1,239,2,8281,1,1,0,0,7,0,65535,8287,-3,4,0,0,0,0,67,0,0,0,0
246,1,240,2,8278,1,1,0,0,8,0,65535,8284,-3,4,0,1,221,0,67,0,0,0,0
247,1,241,2,8275,1,1,0,0,8,0,65535,8281,-3,4,0,0,0,0,67,0,0,0,0
248,1,242,2,8272,1,1,0,0,9,0,65535,8278,-3,4,0,1,221,0,67,0,0,0,0
249,1,243,2,8269,1,1,0,0,10,0,65535,8275,-3,4,0,0,0,0,67,0,0,0,0
250,1,244,2,8266,1,1,0,0,10,0,65535,8272,-3,4,0,1,221,0,67,0,0,0,0
251,1,245,2,8263,1,1,0,0,10,0,65535,8269,-3,4,0,0,0,0,67,0,0,0,0
252,1,246,2,8260,1,1,0,0,11,0,65535,8266,-3,4,0,1,221,0,67,0,0,0,0
253,1,247,2,8257,1,1,0,0,11,0,65535,8263,-3,4,0,0,0,0,67,0,0,0,0
254,1,248,2,8254,1,1,0,0,11,0,65535,8260,-3,4,0,1,221,0,67,0,0,0,0
